queue,priority,tags,subject,body
Technical Support,medium,"IT Support, Product Support, Technical Guidance, Technical Support",I need help implementing a new microservice,"Dear IT support team, I need assistance in implementing a new microservice in AWS cloud infrastructure using the full AWS environment. The affected product is the AWS Management Service. Please advise on best practices and provide a guided process for smooth implementation. I appreciate your prompt attention to this matter. Thank you, <name>"
Technical Support,high,"Service Disruption, System Crash, Technical Support, Urgent Issue",Urgent: Database corruption on MySQL 8.0.30,"Dear Support Time, We found database corruption with MySQL 8.0.30, resulting in interruptions in the service and significantly affecting our business operations. Immediate assistance is needed to resolve this problem. Please prioritize this matter. Carefully, <name>"
Billing and Payments,high,"Account Assistance, Billing Issue, Customer Service, Refund Request",Excessive Charges on Microsoft Office 365 Annual Subscription,"Dear Tech Online Store customer support client, I recently noticed an excessive charge on my annual Microsoft Office 365 subscription for cloud services on our team. Could you help me solve this problem? My account number is <acc_num>. I would appreciate a prompt resolution. Thank you, <name> <tel_num>"
Technical Support,high,"Critical Failure, Performance Tuning, Product Support, Technical Support",Critical Performance Problems with Dell XPS 13 9310,"Dear customer service, my Dell XPS 13 9310 laptop encounters critical performance problems and plants frequently despite sufficient memory and storage space. Please help me solve this problem as soon as possible. Thank you, <name>."
Customer Service,medium,"General Inquiry, Product Support, Sales Inquiry, Technical Support",Request for MacBook Air M1 specifications and adjustments,"Dear Tech Online Store Support Team, I am interested in buying a MacBook Air M1 and would like to have detailed specifications and information on available customization options. Could you please provide me with this information? Thank you for your support. Sincerely, <name>"
Technical Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Monitorprobleme,"Hello support team, my Dell XPS 13 9310 does not recognize an external monitor. I tried to check the graphics card drivers, but the problem persists. Please give me advice on further steps to solve this problem. Thank you, <name>"
Technical Support,high,"Hardware Failure, Problem Resolution, Software Bug, Technical Support",Flashing screen problem,"Hello Customer Service, I recently updated my Dell XPS 13 9310 and I now encounter an intermittent screen flash that seriously affects usability. This problem started immediately after the update. I am not sure if it is a hardware or software problem, but I need help as soon as possible. Please give me advice on troubleshooting or initiate a repair if necessary. Thank you, <tel_num> <acc_num>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Immediate support required when accessing Jira software,"Dear Customer Service, After the last update, users will not be able to access the project management features in Jira Software. We urgently need your support to solve this problem. We use Jira Software version 8.20. Please process this request as soon as possible to minimize disruptions. Thank you, <name>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Urgent: PyCharm 2024.2 Debugger crashes,PyCharm 2024.2 often crashes while debugging Python projects.
Customer Service,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Unresponsive touchscreen problem on Surface Pro 7,"Dear Customer Service, I have a non-responsive touchscreen problem on my Microsoft Surface Pro 7. Despite repeated restarts, the problem remains. Your support for solving this problem would be highly appreciated. Thank you. Sincerely, <name>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Immediate support required: Jira software problems,"Dear Customer Service, I write to report problems with our project tracking and scrum boards after a recent system update. We use Jira Software 8.20. Project tracking and Scrum boards have failed. This problem needs an immediate solution. Please take care of the matter urgently. Thank you, <name> Account number: <acc_num> Phone: <tel_num>"
IT Support,high,"IT Support, Network Issue, Technical Support, Urgent Issue",High-priority configuration support request,"Dear support team, I have a high priority ticket requesting configuration support for the Cisco ISR4331 router in our business environment. Immediate assistance is needed to ensure a minimum downtime. Please refer to the details provided in the ticket number <ticket_number>. Contact me at <tel_num> or by email at <email>. Thank you, <name>"
Technical Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Problema de Energia com o Dell XPS 13 9310,"Dear Tech Online Store support team, I am facing energy problems with my Dell XPS 13 9310. Although it is fully loaded, the laptop does not care. Please let me know how to proceed. Thank you, <name>."
IT Support,medium,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Visual Studio Code Problem,"Dear IT service support, I am experiencing frequent freezing problems with Visual Studio Code 1.70 during code debugging on Windows 10. This significantly affects my productivity. Please help solve this problem quickly. Thank you. Greetings, <name> <tel_num>"
